Wall time,Step,Value
1753794044.566409,684,0.3828125
1753798974.9596083,1378,0.232421875
1753800556.7947042,1603,0.24609375
1753802003.8090992,1812,0.3203125
1753802541.1686652,1887,0.298828125
1753805779.6640313,2351,0.2578125
1753807892.592102,2650,0.28125
1753808768.8058133,2777,0.23828125
1753808924.8712037,2799,0.298828125
1753809491.452114,2882,0.20703125
1753809531.3653886,2887,0.234375
1753810707.307669,3054,0.1767578125
1753811012.4265478,3096,0.19921875
1753811370.4586096,3146,0.1796875
1753812178.60501,3262,0.216796875
1753812365.4573545,3288,0.2216796875
1753812487.620582,3304,0.248046875
1753812810.211835,3351,0.19921875
1753813380.1431952,3433,0.2041015625
1753814434.436572,3579,0.25390625
1753814760.838685,3626,0.25390625
1753815174.0102267,3685,0.265625
1753815304.0009046,3703,0.265625
1753815500.531884,3730,0.30078125
1753816105.6745014,3816,0.2890625
1753816395.502954,3857,0.205078125
1753816760.875686,3907,0.2021484375
1753816822.9179277,3915,0.171875
1753817004.101665,3940,0.1787109375
1753817057.6737947,3948,0.203125
1753817259.9637609,3978,0.2099609375
1753818918.3483868,4213,0.28125
1753818988.910089,4223,0.1826171875
1753819079.757865,4236,0.18359375
1753819290.6811664,4267,0.158203125
1753819372.152895,4279,0.263671875
1753820380.8909965,4420,0.2373046875
1753820509.4433289,4438,0.21484375
1753820614.7520144,4453,0.2216796875
1753821050.9899373,4514,0.2255859375
1753821203.4861982,4536,0.2578125
1753821427.4787288,4568,0.216796875
1753821711.5010595,4609,0.1513671875
1753821796.8872747,4622,0.291015625
1753822240.8352623,4687,0.1796875
1753822318.624446,4698,0.1689453125
1753822334.9056475,4700,0.2021484375
1753823017.235081,4796,0.1796875
1753823229.347912,4826,0.185546875
1753823351.6393561,4844,0.24609375
1753823789.065197,4908,0.201171875
1753823956.0678585,4932,0.2236328125
1753824048.2530994,4945,0.224609375
1753824146.8670356,4959,0.158203125
1753824232.778292,4971,0.19140625
1753824294.07241,4980,0.236328125
1753824351.3177283,4988,0.234375
1753824466.398853,5004,0.181640625
1753824876.4043367,5063,0.1884765625
1753824920.4896035,5069,0.203125
1753825012.492811,5082,0.20703125
1753825025.6234367,5084,0.1484375
1753825295.1333172,5122,0.201171875
1753825462.2461402,5146,0.208984375
1753825522.1572523,5154,0.197265625
1753825594.7468195,5164,0.255859375
1753825636.3297422,5170,0.25390625
1753825783.6877155,5190,0.2119140625
1753825821.821476,5195,0.150390625
1753826138.9145846,5241,0.18359375
1753826298.0618236,5263,0.177734375
1753826619.817991,5306,0.18359375
1753826814.7885818,5333,0.158203125
1753826927.0813906,5349,0.1376953125
1753826988.1678426,5357,0.1953125
1753826994.7454274,5358,0.1787109375
1753827001.417956,5359,0.181640625
1753827073.2511437,5369,0.16015625
1753827118.158299,5375,0.140625
1753827517.2721958,5431,0.224609375
1753827691.861474,5457,0.1640625
1753827820.3334863,5475,0.166015625
1753827887.4171104,5485,0.185546875
1753828060.3955147,5510,0.2109375
1753828205.9591215,5530,0.2177734375
1753828226.912276,5533,0.205078125
1753828239.4055805,5535,0.1767578125
1753828264.6497633,5539,0.162109375
1753828322.7983124,5547,0.2216796875
1753828406.62808,5560,0.2041015625
1753828483.6346757,5571,0.212890625
1753828508.2412894,5575,0.15234375
1753828520.773669,5577,0.21484375
1753828535.86697,5579,0.2197265625
1753828581.4728487,5585,0.287109375
1753828587.8499818,5586,0.169921875
1753828647.8768713,5594,0.2109375
1753828668.782884,5597,0.2578125
1753828687.070269,5600,0.17578125
1753828727.2028692,5606,0.1728515625
1753828734.284607,5607,0.2265625
1753828770.1727145,5612,0.232421875
1753828785.0153484,5614,0.14453125
1753828811.4213676,5618,0.2265625
1753828849.702177,5624,0.162109375
1753828891.7065048,5630,0.140625
1753828935.5906713,5636,0.1796875
1753828941.7057157,5637,0.1904296875
1753829102.907766,5660,0.212890625
1753829167.0071852,5669,0.1484375
1753829181.9528315,5671,0.138671875
1753829255.1046855,5681,0.1669921875
1753829262.7628653,5682,0.28125
1753829324.0041904,5691,0.23828125
1753829350.1042838,5695,0.236328125
1753829385.8733993,5700,0.15234375
1753829467.549162,5711,0.1962890625
1753829480.65167,5713,0.18359375
1753829487.2195551,5714,0.17578125
1753829603.4689288,5730,0.216796875
1753829759.615095,5752,0.21484375
1753829983.7575772,5784,0.1923828125
1753829996.8051543,5786,0.21875
1753830216.0904012,5817,0.1591796875
1753830266.1860511,5824,0.2001953125
1753830280.8855622,5826,0.2255859375
1753830332.9868956,5833,0.208984375
1753830450.9041803,5850,0.15625
1753830578.354856,5867,0.2734375
1753830623.140664,5873,0.146484375
1753830650.2283955,5876,0.212890625
1753830817.8737519,5899,0.17578125
1753830868.183139,5906,0.171875
1753830902.00472,5911,0.17578125
1753830909.116416,5912,0.1650390625
1753830918.3998759,5913,0.1298828125
1753830951.8892071,5918,0.201171875
1753830974.5975938,5921,0.232421875
1753830990.6179678,5923,0.1875
1753831254.021866,5961,0.150390625
1753831394.1142333,5981,0.130859375
1753831420.4317062,5985,0.197265625
1753831441.1056936,5988,0.197265625
1753831466.014849,5992,0.19921875
1753831532.1409152,6002,0.1865234375
1753831560.9429364,6006,0.24609375
1753831600.229229,6011,0.21875
1753831628.5906255,6015,0.228515625
1753831635.3823004,6016,0.1328125
1753831654.0894547,6019,0.181640625
1753831668.6921885,6021,0.19921875
1753831841.5268054,6046,0.158203125
1753831861.5592597,6049,0.21875
1753831903.679198,6055,0.189453125
1753831968.685985,6064,0.162109375
1753831991.0149379,6067,0.16796875
1753832017.582825,6071,0.154296875
1753832178.4781034,6095,0.248046875
1753832192.3185854,6097,0.140625
1753832217.873316,6101,0.1865234375
1753832238.6840231,6104,0.1826171875
1753832272.4863853,6109,0.185546875
1753832314.9393597,6115,0.1748046875
1753832371.661559,6122,0.203125
1753832403.7834358,6126,0.22265625
1753832419.2262902,6128,0.140625
1753832507.1196997,6141,0.1484375
1753832514.1820846,6142,0.171875
1753832568.2992654,6149,0.18359375
1753832692.9508505,6167,0.185546875
1753832771.4814177,6178,0.1962890625
1753832785.4940155,6180,0.1640625
1753832800.0209641,6182,0.2119140625
1753832819.372236,6185,0.15625
1753832830.7241168,6187,0.1962890625
1753832836.6369264,6188,0.20703125
1753832871.2627695,6193,0.2236328125
1753832899.738243,6197,0.287109375
1753832912.1854663,6199,0.232421875
1753832947.0217912,6204,0.220703125
1753832994.8889852,6210,0.26953125
1753833025.159738,6214,0.2578125
1753833048.6728399,6217,0.162109375
1753833120.0028982,6227,0.220703125
1753833143.2941794,6230,0.162109375
1753833157.3854403,6232,0.15625
1753833175.9008477,6235,0.27734375
1753833264.9643857,6248,0.166015625
1753833331.7921817,6257,0.25
1753833370.1916595,6263,0.142578125
1753833377.036552,6264,0.1328125
1753833414.4590495,6270,0.1787109375
1753833455.3981209,6276,0.173828125
1753833469.5494392,6278,0.23828125
1753833540.742293,6288,0.2197265625
1753833557.9243617,6290,0.314453125
1753833578.0512736,6293,0.24609375
